epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,1.0422353744506836,
0,,99,,0.2827635109424591,
0,,149,,0.15045247972011566,
0,,154,,,0.0421910285949707
0,0.001000000862404704,154,0.22337235510349274,,
1,,199,,0.22369103133678436,
1,,249,,0.0432763397693634,
1,,299,,0.046220067888498306,
1,,309,,,0.08826849609613419
1,0.001000000862404704,309,0.1578027307987213,,
2,,349,,0.1977565437555313,
2,,399,,0.1466236412525177,
2,,449,,0.038075271993875504,
2,,464,,,0.03980071470141411
2,0.001000000862404704,464,0.10838570445775986,,
3,,499,,0.04299178346991539,
3,,549,,0.9762223958969116,
3,,599,,0.1260637789964676,
3,,619,,,0.04239598289132118
3,0.001000000862404704,619,0.11851473897695541,,
4,,649,,0.04116354510188103,
4,,699,,0.032288774847984314,
4,,749,,0.5607522130012512,
4,,774,,,0.06329143047332764
4,0.001000000862404704,774,0.11034642904996872,,
5,,799,,0.05142699182033539,
5,,849,,0.052717436105012894,
5,,899,,0.10408841818571091,
5,,929,,,0.03724517300724983
5,0.001000000862404704,929,0.07210418581962585,,
6,,949,,0.06454410403966904,
6,,999,,0.17623434960842133,
6,,1049,,0.207830548286438,
6,,1084,,,0.04671541601419449
6,0.001000000862404704,1084,0.11688003689050674,,
7,,1099,,0.07578303664922714,
7,,1149,,0.10196173936128616,
7,,1199,,0.05281456932425499,
7,,1239,,,0.04901288077235222
7,0.001000000862404704,1239,0.07361094653606415,,
8,,1249,,0.050581756979227066,
8,,1299,,0.032006941735744476,
8,,1349,,0.05971201881766319,
8,,1394,,,0.040239185094833374
8,0.001000000862404704,1394,0.08043542504310608,,
9,,1399,,0.04925410822033882,
9,,1449,,0.04093824326992035,
9,,1499,,0.06637270003557205,
9,,1549,,0.1017555296421051,
9,,1549,,,0.04015381261706352
9,0.001000000862404704,1549,0.07147014886140823,,
10,,1599,,0.04319257289171219,
10,,1649,,0.03700314462184906,
10,,1699,,0.07338333874940872,
