epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.29256007075309753,
0,,99,,0.4756685495376587,
0,,149,,0.2833251655101776,
0,,154,,,0.23026639223098755
0,0.001000000862404704,154,0.33659452199935913,,
1,,199,,0.35362815856933594,
1,,249,,0.23901674151420593,
1,,299,,0.3780840039253235,
1,,309,,,0.28132393956184387
1,0.001000000862404704,309,0.32297956943511963,,
2,,349,,0.22810614109039307,
2,,399,,0.3197478950023651,
2,,449,,0.22931769490242004,
2,,464,,,0.23040373623371124
2,0.001000000862404704,464,0.3073890209197998,,
3,,499,,0.3230215907096863,
3,,549,,0.4138653576374054,
3,,599,,0.3633766174316406,
3,,619,,,0.2430793195962906
3,0.001000000862404704,619,0.31047719717025757,,
4,,649,,0.2645241320133209,
4,,699,,0.23088498413562775,
4,,749,,0.26097431778907776,
4,,774,,,0.3102230727672577
4,0.001000000862404704,774,0.31005868315696716,,
5,,799,,0.38742542266845703,
5,,849,,0.29388561844825745,
5,,899,,0.25815248489379883,
5,,929,,,0.2470601350069046
5,0.001000000862404704,929,0.30063286423683167,,
6,,949,,0.251699298620224,
6,,999,,0.25301510095596313,
6,,1049,,0.24705439805984497,
6,,1084,,,0.22581863403320312
6,0.001000000862404704,1084,0.2816154360771179,,
7,,1099,,0.2747529447078705,
7,,1149,,0.5667951703071594,
7,,1199,,0.24081364274024963,
7,,1239,,,0.24637781083583832
7,0.001000000862404704,1239,0.28548890352249146,,
8,,1249,,0.23072361946105957,
8,,1299,,0.272899329662323,
8,,1349,,0.2526918649673462,
8,,1394,,,0.25025674700737
8,0.001000000862404704,1394,0.29056310653686523,,
9,,1399,,0.23574039340019226,
9,,1449,,0.23841184377670288,
9,,1499,,0.2365986704826355,
9,,1549,,0.2768215835094452,
9,,1549,,,0.2249005287885666
9,0.001000000862404704,1549,0.2953190803527832,,
10,,1599,,0.2713959813117981,
10,,1649,,0.31380796432495117,
10,,1699,,0.353777140378952,
10,,1704,,,0.24156628549098969
10,0.001000000862404704,1704,0.29260551929473877,,
11,,1749,,0.2668026387691498,
11,,1799,,0.2606029808521271,
11,,1849,,0.2175225019454956,
11,,1859,,,0.23406049609184265
11,0.001000000862404704,1859,0.2708209156990051,,
12,,1899,,0.3110426962375641,
12,,1949,,0.2422102391719818,
12,,1999,,0.2177281528711319,
12,,2014,,,0.23106859624385834
12,0.001000000862404704,2014,0.2687477171421051,,
13,,2049,,0.43618836998939514,
13,,2099,,0.26936379075050354,
13,,2149,,0.2950318157672882,
13,,2169,,,0.2327088862657547
13,0.001000000862404704,2169,0.2782506048679352,,
14,,2199,,0.2203480750322342,
14,,2249,,0.24598842859268188,
14,,2299,,0.2183654010295868,
14,,2324,,,0.2349618673324585
14,0.001000000862404704,2324,0.27136513590812683,,
15,,2349,,0.24347025156021118,
15,,2399,,0.28975898027420044,
15,,2449,,0.26353365182876587,
15,,2479,,,0.22044138610363007
15,0.001000000862404704,2479,0.26116979122161865,,
16,,2499,,0.2287457287311554,
16,,2549,,0.24029037356376648,
16,,2599,,0.24450400471687317,
16,,2634,,,0.22666983306407928
16,0.001000000862404704,2634,0.2659991383552551,,
17,,2649,,0.22430700063705444,
17,,2699,,0.25022417306900024,
17,,2749,,0.3144146502017975,
17,,2789,,,0.23282873630523682
17,0.001000000862404704,2789,0.2664574086666107,,
18,,2799,,0.24797675013542175,
18,,2849,,0.24309700727462769,
18,,2899,,0.23266972601413727,
18,,2944,,,0.22997885942459106
18,0.001000000862404704,2944,0.2681712508201599,,
19,,2949,,0.25021201372146606,
19,,2999,,0.26224926114082336,
19,,3049,,0.21532931923866272,
19,,3099,,0.39501258730888367,
19,,3099,,,0.24236969649791718
19,0.001000000862404704,3099,0.2645876705646515,,
20,,3149,,0.3862003982067108,
20,,3199,,0.2231685221195221,
20,,3249,,0.26603832840919495,
20,,3254,,,0.23841319978237152
20,0.001000000862404704,3254,0.27059102058410645,,
21,,3299,,0.21957124769687653,
21,,3349,,0.27193957567214966,
21,,3399,,0.25056013464927673,
21,,3409,,,0.22706249356269836
21,0.001000000862404704,3409,0.2551075518131256,,
22,,3449,,0.24816258251667023,
22,,3499,,0.24581997096538544,
22,,3549,,0.22054922580718994,
22,,3564,,,0.2226257473230362
22,0.001000000862404704,3564,0.2532917261123657,,
23,,3599,,0.24386905133724213,
23,,3649,,0.26880502700805664,
23,,3699,,0.23371420800685883,
23,,3719,,,0.23255577683448792
23,0.001000000862404704,3719,0.2635452449321747,,
24,,3749,,0.23265691101551056,
24,,3799,,0.33056849241256714,
24,,3849,,0.22194112837314606,
24,,3874,,,0.23130163550376892
24,0.001000000862404704,3874,0.2620716094970703,,
25,,3899,,0.22199201583862305,
25,,3949,,0.31404685974121094,
25,,3999,,0.22745107114315033,
25,,4029,,,0.22490522265434265
25,0.001000000862404704,4029,0.2608506977558136,,
26,,4049,,0.2642642557621002,
26,,4099,,0.22558453679084778,
26,,4149,,0.21888117492198944,
26,,4184,,,0.22373701632022858
26,0.001000000862404704,4184,0.24520787596702576,,
27,,4199,,0.21989776194095612,
27,,4249,,0.2237004041671753,
27,,4299,,0.23761606216430664,
27,,4339,,,0.23434686660766602
27,9.999988105846569e-05,4339,0.2359883040189743,,
28,,4349,,0.2229679524898529,
28,,4399,,0.23751556873321533,
28,,4449,,0.2324460744857788,
28,,4494,,,0.23175391554832458
28,9.999988105846569e-05,4494,0.23474210500717163,,
29,,4499,,0.24225400388240814,
29,,4549,,0.21374844014644623,
29,,4599,,0.24023278057575226,
29,,4649,,0.23029787838459015,
29,,4649,,,0.2223219871520996
29,9.999988105846569e-05,4649,0.2325430065393448,,
30,,4699,,0.2149893194437027,
30,,4749,,0.24465464055538177,
30,,4799,,0.22325019538402557,
30,,4804,,,0.2226610779762268
30,9.999988105846569e-05,4804,0.23092065751552582,,
31,,4849,,0.22588306665420532,
31,,4899,,0.20617985725402832,
31,,4949,,0.21029837429523468,
31,,4959,,,0.22187396883964539
31,9.999988105846569e-05,4959,0.22923776507377625,,
32,,4999,,0.21045106649398804,
32,,5049,,0.23160840570926666,
32,,5099,,0.2077346295118332,
32,,5114,,,0.22253279387950897
32,9.999988105846569e-05,5114,0.22954437136650085,,
33,,5149,,0.22042639553546906,
33,,5199,,0.2173347771167755,
33,,5249,,0.2241610884666443,
33,,5269,,,0.22236932814121246
33,9.999988105846569e-05,5269,0.233668714761734,,
34,,5299,,0.2312202751636505,
34,,5349,,0.2225533127784729,
34,,5399,,0.2254040688276291,
34,,5424,,,0.22347994148731232
34,9.999988105846569e-05,5424,0.22846156358718872,,
35,,5449,,0.22589077055454254,
35,,5499,,0.21391406655311584,
35,,5549,,0.24540019035339355,
35,,5579,,,0.24229304492473602
35,9.999988105846569e-05,5579,0.232477068901062,,
36,,5599,,0.207720547914505,
36,,5649,,0.23591427505016327,
36,,5699,,0.229009211063385,
36,,5734,,,0.22447870671749115
36,9.999988105846569e-05,5734,0.2293330729007721,,
37,,5749,,0.2138645350933075,
37,,5799,,0.21264559030532837,
37,,5849,,0.23650173842906952,
37,,5889,,,0.2225271612405777
37,9.999988105846569e-05,5889,0.22768811881542206,,
38,,5899,,0.2572539746761322,
38,,5949,,0.2177559733390808,
38,,5999,,0.2171466052532196,
